wandb: Detected [huggingface_hub.inference] in use.
wandb: Use W&B Weave for improved LLM call tracing. Weave is installed but not imported. Add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/

================================================================================
Training Configuration: config8_r1_alpha4_lr3e4
GPU: 3 | LoRA r: 1 | LoRA alpha: 4 | LR: 0.0003
Batch size: 2 | Grad accum: 4
Max seq length: 1024 | Samples: 10000
Training duration: 3 epochs
================================================================================

Loading model and tokenizer...
==((====))==  Unsloth 2025.10.8: Fast Llama patching. Transformers: 4.56.2.
   \\   /|    NVIDIA GeForce RTX 5060 Ti. Num GPUs = 1. Max memory: 15.477 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.8.0+cu128. CUDA: 12.0. CUDA Toolkit: 12.8. Triton: 3.4.0
\        /    Bfloat16 = TRUE. FA [Xformers = None. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Loading dataset...
Training samples: 10000
Validation samples: 500
Formatting training dataset...
Setting up LoRA...
Unsloth 2025.10.8 patched 32 layers with 32 QKV layers, 32 O layers and 32 MLP layers.
Configuring trainer...

================================================================================
Starting training: config8_r1_alpha4_lr3e4
================================================================================
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs used = 1
   \\   /|    Num examples = 10,000 | Num Epochs = 3 | Total steps = 3,750
O^O/ \_/ \    Batch size per device = 2 | Gradient accumulation steps = 4
\        /    Data Parallel GPUs = 1 | Total batch size (2 x 4 x 1) = 8
 "-____-"     Trainable parameters = 2,621,440 of 8,032,882,688 (0.03% trained)
                                                    

Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 1.367, 'grad_norm': 1.0664178133010864, 'learning_rate': 0.00029967957276368486, 'epoch': 0.01}
{'loss': 0.8514, 'grad_norm': 0.6358017325401306, 'learning_rate': 0.00029887850467289715, 'epoch': 0.02}
{'loss': 0.7312, 'grad_norm': 0.646626353263855, 'learning_rate': 0.00029807743658210944, 'epoch': 0.02}
{'loss': 0.7748, 'grad_norm': 0.49370867013931274, 'learning_rate': 0.00029727636849132173, 'epoch': 0.03}
{'loss': 0.7392, 'grad_norm': 0.4324197769165039, 'learning_rate': 0.000296475300400534, 'epoch': 0.04}
{'loss': 0.748, 'grad_norm': 0.4806252419948578, 'learning_rate': 0.0002956742323097463, 'epoch': 0.05}
{'loss': 0.7397, 'grad_norm': 0.42798662185668945, 'learning_rate': 0.0002948731642189586, 'epoch': 0.06}
{'loss': 0.6855, 'grad_norm': 0.36789432168006897, 'learning_rate': 0.00029407209612817084, 'epoch': 0.06}
{'loss': 0.6738, 'grad_norm': 0.48693153262138367, 'learning_rate': 0.00029327102803738313, 'epoch': 0.07}
{'loss': 0.7114, 'grad_norm': 0.4748331308364868, 'learning_rate': 0.0002924699599465954, 'epoch': 0.08}
{'loss': 0.751, 'grad_norm': 0.45762184262275696, 'learning_rate': 0.0002916688918558077, 'epoch': 0.09}
{'loss': 0.6874, 'grad_norm': 0.4691760241985321, 'learning_rate': 0.00029086782376502, 'epoch': 0.1}
{'loss': 0.7325, 'grad_norm': 0.448427677154541, 'learning_rate': 0.0002900667556742323, 'epoch': 0.1}
{'loss': 0.6793, 'grad_norm': 0.5174057483673096, 'learning_rate': 0.0002892656875834446, 'epoch': 0.11}
{'loss': 0.6805, 'grad_norm': 0.4292404055595398, 'learning_rate': 0.0002884646194926568, 'epoch': 0.12}
{'loss': 0.7104, 'grad_norm': 0.6246774792671204, 'learning_rate': 0.0002876635514018691, 'epoch': 0.13}
