wandb: Detected [huggingface_hub.inference] in use.
wandb: Use W&B Weave for improved LLM call tracing. Weave is installed but not imported. Add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/

================================================================================
Training Configuration: config6_r4_alpha8_lr2e4
GPU: 1 | LoRA r: 4 | LoRA alpha: 8 | LR: 0.0002
Batch size: 2 | Grad accum: 4
Max seq length: 1024 | Samples: 10000
Training duration: 3 epochs
================================================================================

Loading model and tokenizer...
==((====))==  Unsloth 2025.10.8: Fast Llama patching. Transformers: 4.56.2.
   \\   /|    NVIDIA GeForce RTX 5060 Ti. Num GPUs = 1. Max memory: 15.477 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.8.0+cu128. CUDA: 12.0. CUDA Toolkit: 12.8. Triton: 3.4.0
\        /    Bfloat16 = TRUE. FA [Xformers = None. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Loading dataset...
Training samples: 10000
Validation samples: 500
Formatting training dataset...
Setting up LoRA...
Unsloth 2025.10.8 patched 32 layers with 32 QKV layers, 32 O layers and 32 MLP layers.
Configuring trainer...

================================================================================
Starting training: config6_r4_alpha8_lr2e4
================================================================================
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs used = 1
   \\   /|    Num examples = 10,000 | Num Epochs = 3 | Total steps = 3,750
O^O/ \_/ \    Batch size per device = 2 | Gradient accumulation steps = 4
\        /    Data Parallel GPUs = 1 | Total batch size (2 x 4 x 1) = 8
 "-____-"     Trainable parameters = 10,485,760 of 8,040,747,008 (0.13% trained)
                                                    

Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 1.3737, 'grad_norm': 0.7118391394615173, 'learning_rate': 0.0001997863818424566, 'epoch': 0.01}
{'loss': 0.8544, 'grad_norm': 0.5292805433273315, 'learning_rate': 0.00019925233644859814, 'epoch': 0.02}
{'loss': 0.7364, 'grad_norm': 0.4531402885913849, 'learning_rate': 0.00019871829105473968, 'epoch': 0.02}
{'loss': 0.7777, 'grad_norm': 0.38496822118759155, 'learning_rate': 0.0001981842456608812, 'epoch': 0.03}
{'loss': 0.7374, 'grad_norm': 0.33739954233169556, 'learning_rate': 0.0001976502002670227, 'epoch': 0.04}
{'loss': 0.7485, 'grad_norm': 0.3664347529411316, 'learning_rate': 0.00019711615487316423, 'epoch': 0.05}
{'loss': 0.7394, 'grad_norm': 0.34502580761909485, 'learning_rate': 0.00019658210947930574, 'epoch': 0.06}
{'loss': 0.6841, 'grad_norm': 0.28246670961380005, 'learning_rate': 0.00019604806408544728, 'epoch': 0.06}
{'loss': 0.6711, 'grad_norm': 0.3492569029331207, 'learning_rate': 0.0001955140186915888, 'epoch': 0.07}
{'loss': 0.71, 'grad_norm': 0.37163180112838745, 'learning_rate': 0.00019497997329773033, 'epoch': 0.08}
{'loss': 0.7503, 'grad_norm': 0.34964844584465027, 'learning_rate': 0.00019444592790387183, 'epoch': 0.09}
{'loss': 0.6859, 'grad_norm': 0.39200663566589355, 'learning_rate': 0.00019391188251001334, 'epoch': 0.1}
{'loss': 0.7309, 'grad_norm': 0.3590065538883209, 'learning_rate': 0.00019337783711615488, 'epoch': 0.1}
{'loss': 0.6773, 'grad_norm': 0.39595115184783936, 'learning_rate': 0.00019284379172229642, 'epoch': 0.11}
{'loss': 0.6791, 'grad_norm': 0.3447250723838806, 'learning_rate': 0.00019230974632843793, 'epoch': 0.12}
{'loss': 0.7087, 'grad_norm': 0.5987209677696228, 'learning_rate': 0.00019177570093457943, 'epoch': 0.13}
{'loss': 0.7172, 'grad_norm': 0.35280054807662964, 'learning_rate': 0.00019124165554072097, 'epoch': 0.14}
{'loss': 0.7833, 'grad_norm': 0.32454773783683777, 'learning_rate': 0.00019070761014686248, 'epoch': 0.14}
{'loss': 0.7456, 'grad_norm': 0.28768447041511536, 'learning_rate': 0.00019017356475300402, 'epoch': 0.15}
{'loss': 0.6929, 'grad_norm': 0.3350850045681, 'learning_rate': 0.00018963951935914555, 'epoch': 0.16}
{'loss': 0.7191, 'grad_norm': 0.43154099583625793, 'learning_rate': 0.00018910547396528706, 'epoch': 0.17}
